Number of dictionaries
128
Dictionaries was updated on
July-19-2013
Filename,Filesize,Date,Dictionary,Words
sqen.mdo,2333247,November-05-2012,Albanian-English,54261
aren.mdo,2334529,November-05-2012,Arabic-English,63183
arfr.mdo,1536072,November-05-2012,Arabic-French,48761
arru.mdo,480944,November-05-2012,Arabic-Russian,9968
hyen.mdo,1120527,November-05-2012,Armenian-English,33797
hyru.mdo,724369,November-05-2012,Armenian-Russian,22773
azen.mdo,1920960,November-05-2012,Azerbaijani-English,45320
azru.mdo,1993707,November-05-2012,Azerbaijani-Russian,46512
bgen.mdo,3394140,November-05-2012,Bulgarian-English,83811
hren.mdo,1809778,November-05-2012,Croatian-English,55545
csen.mdo,2440880,November-05-2012,Czech-English,50593
csde.mdo,3298595,November-05-2012,Czech-German,72603
nlen.mdo,2611243,November-05-2012,Dutch-English,63085
ensq.mdo,4261796,November-05-2012,English-Albanian,50906
enar.mdo,2383208,November-05-2012,English-Arabic,45765
enhy.mdo,2419308,November-05-2012,English-Armenian,25846
enaz.mdo,3531195,November-05-2012,English-Azerbaijani,47146
enbg.mdo,5038499,November-05-2012,English-Bulgarian,57670
enhr.mdo,3497016,November-05-2012,English-Croatian,51841
encs.mdo,4150444,November-05-2012,English-Czech,48292
ennl.mdo,6807470,November-05-2012,English-Dutch,129986
enet.mdo,3438018,November-05-2012,English-Estonian,43285
entl.mdo,2312641,November-05-2012,English-Filipino,53202
enfi.mdo,4903080,November-05-2012,English-Finnish,58469
enfr.mdo,7996468,November-05-2012,English-French,141602
ende.mdo,7760920,November-05-2012,English-German,140347
enel.mdo,2361115,November-05-2012,English-Greek,50428
eniw.mdo,7383591,November-05-2012,English-Hebrew,138896
enhu.mdo,4564657,November-05-2012,English-Hungarian,62784
enid.mdo,3334435,November-05-2012,English-Indonesian,115780
enit.mdo,7057479,November-05-2012,English-Italian,134176
enko.mdo,3272765,November-05-2012,English-Korean,62947
enla.mdo,2193274,November-05-2012,English-Latin,40033
enlv.mdo,2761801,November-05-2012,English-Latvian,34397
enlt.mdo,3741524,November-05-2012,English-Lithuanian,40077
enmn.mdo,1133992,November-05-2012,English-Mongolian,27188
enno.mdo,351831,November-05-2012,English-Norwegian,12395
enfa.mdo,2333367,November-05-2012,English-Persian,50259
enpl.mdo,4686097,November-05-2012,English-Polish,49914
enpt.mdo,7412644,November-05-2012,English-Portuguese,136461
enro.mdo,5220525,November-05-2012,English-Romanian,57901
enru.mdo,4669813,November-05-2012,English-Russian,92393
ensr.mdo,4451170,November-05-2012,English-Serbian,56331
ensk.mdo,4202091,November-05-2012,English-Slovak,43745
enes.mdo,7001025,November-05-2012,English-Spanish,126890
ensv.mdo,5212480,November-05-2012,English-Swedish,104525
entr.mdo,3782346,November-05-2012,English-Turkish,73730
enuk.mdo,4307924,November-05-2012,English-Ukrainian,44271
envi.mdo,8207945,November-05-2012,English-Vietnamese,103835
enyi.mdo,247036,November-05-2012,English-Yiddish,8527
eten.mdo,2249140,November-05-2012,Estonian-English,57467
